0,0
00:44:34,0.590335426 Image_Scale: 1 Haar_Scale: 2
00:44:34,0.145041708 Image_Scale: 2 Haar_Scale: 2
00:44:34,0.051034933 Image_Scale: 3 Haar_Scale: 2
00:44:34,0.593755618 Image_Scale: 1 Haar_Scale: 2
00:44:35,0.145597576 Image_Scale: 2 Haar_Scale: 2
00:44:35,0.0515438129999 Image_Scale: 3 Haar_Scale: 2
00:44:35,0.68553192 Image_Scale: 1 Haar_Scale: 2
00:44:36,0.168112253 Image_Scale: 2 Haar_Scale: 2
00:44:36,0.051856739 Image_Scale: 3 Haar_Scale: 2
00:44:36,0.589529617 Image_Scale: 1 Haar_Scale: 2
00:44:36,0.147063229 Image_Scale: 2 Haar_Scale: 2
00:44:36,0.0506780180001 Image_Scale: 3 Haar_Scale: 2
00:44:37,0.594417462 Image_Scale: 1 Haar_Scale: 2
00:44:37,0.147095223 Image_Scale: 2 Haar_Scale: 2
00:44:37,0.054517111 Image_Scale: 3 Haar_Scale: 2
00:44:38,0.584329846 Image_Scale: 1 Haar_Scale: 2
00:44:38,0.142520304 Image_Scale: 2 Haar_Scale: 2
00:44:38,0.0487484750001 Image_Scale: 3 Haar_Scale: 2
00:44:39,0.594881352 Image_Scale: 1 Haar_Scale: 2
00:44:39,0.144931734 Image_Scale: 2 Haar_Scale: 2
00:44:39,0.05282751 Image_Scale: 3 Haar_Scale: 2
00:44:40,0.58566653 Image_Scale: 1 Haar_Scale: 2
00:44:40,0.143107165 Image_Scale: 2 Haar_Scale: 2
00:44:40,0.0987356560001 Image_Scale: 3 Haar_Scale: 2
00:44:41,0.620082393 Image_Scale: 1 Haar_Scale: 2
00:44:42,0.143747014 Image_Scale: 2 Haar_Scale: 2
00:44:42,0.0511399090001 Image_Scale: 3 Haar_Scale: 2
00:44:42,0.593793608 Image_Scale: 1 Haar_Scale: 2
00:44:42,0.145206668 Image_Scale: 2 Haar_Scale: 2
00:44:43,0.051194896 Image_Scale: 3 Haar_Scale: 2
00:44:43,0.592028026 Image_Scale: 1 Haar_Scale: 2
00:44:43,0.144191909 Image_Scale: 2 Haar_Scale: 2
00:44:43,0.049367328 Image_Scale: 3 Haar_Scale: 2
00:44:44,0.588217927 Image_Scale: 1 Haar_Scale: 2
00:44:44,0.145109691 Image_Scale: 2 Haar_Scale: 2
00:44:44,0.0520197010001 Image_Scale: 3 Haar_Scale: 2
00:44:45,0.592254972 Image_Scale: 1 Haar_Scale: 2
00:44:45,0.210905135 Image_Scale: 2 Haar_Scale: 2
00:44:45,0.0507500010001 Image_Scale: 3 Haar_Scale: 2
00:44:46,0.617431021 Image_Scale: 1 Haar_Scale: 2
00:44:46,0.146388389 Image_Scale: 2 Haar_Scale: 2
00:44:46,0.051926722 Image_Scale: 3 Haar_Scale: 2
00:44:47,0.594617414 Image_Scale: 1 Haar_Scale: 2
